File,Type,Name,Is Hardcoded/Stub,Cell Index,Docstring/Purpose
QuantuMetric_Sim0_000_AutoPOiET_Parity_Orchestrator.ipynb,Class,QuantuMetricTranspiler,False,2,Translates linguistic syntax into physical data-molecules.
QuantuMetric_Sim0_000_AutoPOiET_Parity_Orchestrator.ipynb,Class,MonolithicCongruenceEngine,False,2,Executes the 13-Zero Autopoietic Mechanics and Prime Anchoring.
QuantuMetric_Sim0_000_AutoPOiET_Parity_Orchestrator.ipynb,Class,AutopoieticOrchestrator,False,2,"Manages the full execution layer, A2A routing, and Sessionary Autosaves."
QuantuMetric_Sim0_000_AutoPOiET_Parity_Orchestrator.ipynb,Class,AutoTelemetryArchitect,False,4,"Automates reporting, indexing, and cross-referencing for the QuantuMetric Engine."
QuantuMetric_Sim0_000_AutoPOiET_Parity_Orchestrator.ipynb,Class,AutoTelemetryArchitect,False,5,"Automates reporting, indexing, and cross-referencing for the QuantuMetric Engine."
QuantuMetric_Sim0_000_AutoPOiET_Parity_Orchestrator.ipynb,Class,EngineDiagnostics,False,7,Post-emptive debugging engine to analyze logic-shear and thermodynamic waste.
QuantuMetric_Sim0_000_AutoPOiET_Parity_Orchestrator.ipynb,Class,ModularOrchestrator,False,7,Advanced Orchestrator with Pre-emptive and Post-emptive logic cycles.
QuantuMetric_Sim0_000_AutoPOiET_Parity_Orchestrator.ipynb,Class,AutonomicBotAgent,False,11,Autonomous agent responsible for monitoring telemetry and applying real-time damping.
QuantuMetric_Sim0_000_AutoPOiET_Parity_Orchestrator.ipynb,Class,FullAutonomyEngine,False,11,Extended Orchestrator with integrated Bot-Agent feedback loops.
QuantuMetric_Sim0_000_AutoPOiET_Parity_Orchestrator.ipynb,Class,CoordinateShiftEngine,False,14,Advanced engine capable of shifting its prime anchor lattice dynamically.
QuantuMetric_Sim0_000_AutoPOiET_Parity_Orchestrator.ipynb,Class,CoordinateShiftEngine,False,17,Advanced engine capable of shifting its prime anchor lattice dynamically.
QuantuMetric_Sim0_000_AutoPOiET_Parity_Orchestrator.ipynb,Class,MicroMacroTraceEngine,False,20,Audits prompt/response pairs against recorded telemetry to ensure zero-loss provenance.
QuantuMetric_Sim0_000_AutoPOiET_Parity_Orchestrator.ipynb,Class,AutopoieticProjectionEngine,False,23,Projects future capability growth based on current vibronic and thermal states.
QuantuMetric_Sim0_000_AutoPOiET_Parity_Orchestrator.ipynb,Class,SelfEvolvingProvenance,False,23,A self-actualizing provenance function that iterates on its own metadata based on engine performance.
QuantuMetric_Sim0_000_AutoPOiET_Parity_Orchestrator.ipynb,Class,MidInstanceAnalytic,False,27,Monitors mid-instance findings and anomalies for prescriptive correction.
QuantuMetric_Sim0_000_AutoPOiET_Parity_Orchestrator.ipynb,Class,PreemptiveExpectationEngine,False,27,Conceives functional expectations before execution to drive autopoietic evolution.
QuantuMetric_Sim0_000_AutoPOiET_Parity_Orchestrator.ipynb,Class,SelfConceptionEngine,False,27,Final Tier Engine: Integrated self-conception and multi-specializing analytics.
QuantuMetric_Sim0_000_AutoPOiET_Parity_Orchestrator.ipynb,Class,MidInstanceAnalytic,False,29,Monitors mid-instance findings and anomalies for prescriptive correction.
QuantuMetric_Sim0_000_AutoPOiET_Parity_Orchestrator.ipynb,Class,PreemptiveExpectationEngine,False,29,Conceives functional expectations before execution to drive autopoietic evolution.
QuantuMetric_Sim0_000_AutoPOiET_Parity_Orchestrator.ipynb,Class,SelfConceptionEngine,False,29,Final Tier Engine: Integrated self-conception and multi-specializing analytics.
QuantuMetric_Sim0_000_AutoPOiET_Parity_Orchestrator.ipynb,Class,CoordinateShiftEngine,False,31,Advanced engine capable of shifting its prime anchor lattice dynamically.
QuantuMetric_Sim0_000_AutoPOiET_Parity_Orchestrator.ipynb,Class,CoordinateShiftEngine,False,34,Refactored engine to optimize efficiency during high-drift states.
QuantuMetric_Sim0_000_AutoPOiET_Parity_Orchestrator.ipynb,Class,AutonomicBotAgent,False,37,Autonomous agent responsible for monitoring telemetry and applying real-time damping.
QuantuMetric_Sim0_000_AutoPOiET_Parity_Orchestrator.ipynb,Class,FullAutonomyEngine,False,37,
QuantuMetric_Sim0_000_AutoPOiET_Parity_Orchestrator.ipynb,Function,__init__,False,2,
QuantuMetric_Sim0_000_AutoPOiET_Parity_Orchestrator.ipynb,Function,analyze_molecule,False,2,
QuantuMetric_Sim0_000_AutoPOiET_Parity_Orchestrator.ipynb,Function,__init__,False,2,
